Drug_1,Drug_2,Reward
1,1,4.86296114488027e-10
1,7,6.38931829666234e-09
1,8,1.10142750031628e-07
2,1,2.82408444407523e-08
2,4,7.93309700042322e-07
2,5,-3.6031903505318e-07
2,6,-3.41039385842734e-07
4,2,1.58036196851175e-06
4,3,-2.91431234700212e-09
4,5,1.35802972744958e-06
4,7,4.87889154854315e-07
4,8,1.42572336059299e-06
5,2,4.99616177873641e-07
5,8,4.75722148118862e-07
6,8,7.21065902542506e-08
7,1,1.65802960250261e-09
7,2,1.48992696402672e-07
7,6,1.45354974723233e-07
8,2,1.58724750787265e-07
8,7,2.42049234322472e-07
8,8,3.2285429318879e-07
