Drug_1,Drug_2,Drug_3,Reward
1,1,1,1.05684059281685e-08
1,1,2,6.32685588364268e-08
1,1,7,6.49759046567056e-09
1,7,4,4.14448556917968e-07
1,7,6,2.93527107508851e-07
2,4,8,1.41795827801605e-06
2,6,1,4.38603348085209e-08
2,6,4,1.26435993896834e-08
2,6,5,-4.37691265453566e-08
2,6,6,-2.78295283040464e-07
4,2,1,2.72617375551842e-06
4,2,4,2.23599473192504e-06
4,2,6,2.36341828963038e-06
4,3,4,1.59722678305663e-07
4,7,3,5.35997966566448e-07
4,8,1,3.00243668127642e-06
4,8,2,2.71798918183297e-06
6,8,5,5.02625433718151e-07
6,8,7,2.15766284838992e-07
7,1,6,1.94779790296806e-07
7,1,8,3.97071420521478e-07
7,2,2,2.59995993734385e-07
7,2,4,1.48274466749143e-06
7,2,5,2.69645314188161e-07
7,2,6,1.00590718099536e-06
7,2,8,2.0604147488168e-07
8,2,4,1.15484727736259e-06
8,2,6,3.97849711841758e-07
8,2,7,9.16451196264489e-07
8,2,8,5.84867351993701e-07
8,7,7,5.65419902898157e-07
