Drug_1,Drug_2,Drug_3,Drug_4,Reward
1,1,1,4,2.63413100554111e-07
1,1,1,8,1.89711551024097e-07
1,1,2,4,1.60173488583659e-07
1,1,2,6,1.56589231137261e-07
1,1,2,7,2.63339882788927e-07
1,1,7,2,8.85477086098874e-08
1,1,7,8,2.37032824368377e-07
1,7,4,1,2.36176481094308e-06
1,7,4,6,1.30591028679738e-06
1,7,4,7,2.35144075722005e-06
1,7,4,8,6.06643740130863e-07
1,7,6,4,5.84304134854108e-07
2,4,8,6,1.81690402090151e-06
2,4,8,8,1.96666903706788e-06
2,6,1,7,1.42301678662804e-07
2,6,4,4,2.03395055797806e-06
2,6,4,6,1.35513908483542e-06
2,6,4,7,6.25033779511064e-07
2,6,4,8,2.69411201014869e-07
2,6,6,1,2.575449109532e-08
2,6,6,7,-1.97526648593183e-07
4,2,1,1,3.26665910976853e-06
4,2,4,4,2.93087423797189e-06
4,2,4,6,3.12927373946614e-06
4,2,4,8,6.38982412159983e-06
4,2,6,4,2.422731372409e-06
4,2,6,8,4.78628524580582e-06
4,8,1,5,3.59496629964706e-06
4,8,2,2,3.16374975817268e-06
4,8,2,6,3.82613329608095e-06
4,8,2,7,3.23550886771606e-06
7,1,8,1,5.44081371289806e-07
7,1,8,7,4.71291183967715e-07
7,2,2,5,1.36820705676222e-06
7,2,4,4,2.4922305216224e-06
7,2,6,4,1.73285555271629e-06
7,2,8,4,1.50445850644054e-06
8,2,4,1,1.56763723224707e-06
8,2,4,4,1.9964871050826e-06
8,2,4,5,1.41550398313761e-06
8,2,4,7,1.43400412688788e-06
8,2,4,8,1.63243175199668e-06
8,2,7,4,9.23117759343839e-07
8,2,8,4,1.36711985310178e-06
8,7,7,4,6.53580697784761e-07
