Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Reward
1,1,1,4,2,4.46301307022168e-07
1,1,1,4,7,1.12116203809798e-06
1,1,1,8,1,3.98471168838732e-07
1,1,1,8,2,2.24326670905661e-07
1,1,1,8,6,2.65197184545762e-07
1,1,1,8,8,3.18250315656243e-07
1,1,2,4,1,1.30182069590923e-06
1,1,2,4,6,1.14099354808772e-06
1,1,2,6,4,9.17810928480201e-07
1,1,2,6,5,2.74274971401312e-07
1,1,2,6,8,3.95054753465907e-07
1,1,2,7,4,1.34426554654343e-06
1,1,7,2,2,2.58162037969356e-07
1,1,7,8,5,2.90887931297945e-07
1,7,4,1,4,3.2497196992276e-06
1,7,4,6,1,2.46873167986106e-06
1,7,4,6,7,2.18605255064563e-06
1,7,4,7,2,2.39930810552735e-06
1,7,4,8,4,2.34182247815795e-06
1,7,4,8,5,1.07910116542431e-06
1,7,4,8,8,1.83247217433458e-06
1,7,6,4,4,1.45824378272597e-06
1,7,6,4,5,1.26584421333842e-06
1,7,6,4,8,2.33605010413473e-06
2,4,8,6,4,3.01878591424387e-06
2,4,8,6,6,2.20358587255109e-06
2,4,8,8,4,2.82262050266269e-06
2,4,8,8,5,2.20162016884018e-06
2,4,8,8,6,2.28462845686117e-06
2,6,1,7,5,3.39675160554442e-07
2,6,4,4,1,2.78170700274138e-06
2,6,4,4,2,2.42083973722718e-06
2,6,4,6,3,1.86796960821578e-06
2,6,4,7,4,1.79335456984564e-06
2,6,4,7,7,2.17955053261054e-06
2,6,4,7,8,6.51791142058933e-07
2,6,4,8,7,3.13414805441781e-07
4,2,4,4,1,7.21590633012692e-06
4,2,4,6,2,7.45345490738014e-06
4,2,4,8,7,7.61786925029817e-06
4,2,6,4,4,4.63841013942368e-06
4,2,6,4,6,2.67471482473525e-06
4,2,6,4,7,6.92132425483827e-06
4,2,6,8,7,5.50794339104765e-06
4,8,1,5,8,5.13714987127045e-06
4,8,2,2,8,3.52319294760761e-06
4,8,2,6,5,4.08649124050697e-06
4,8,2,7,6,4.57405041098813e-06
4,8,2,7,8,4.68511847695474e-06
7,2,4,4,1,4.22451544868085e-06
7,2,4,4,8,4.32279326489926e-06
8,2,4,4,1,2.59125518586867e-06
8,2,4,4,4,4.83011164376101e-06
8,2,4,4,7,2.5237892156138e-06
8,2,4,5,4,4.48640677497281e-06
8,2,4,5,8,3.45542874546911e-06
8,2,4,7,5,2.15836694272831e-06
8,2,4,7,6,1.89944024187039e-06
8,2,4,7,8,3.59486104284379e-06
8,2,4,8,5,2.09758561697804e-06
8,2,7,4,1,1.50510393215342e-06
8,2,7,4,4,3.64563133326001e-06
8,2,7,4,5,2.73748964574327e-06
8,7,7,4,8,7.07370979902144e-07
