Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Reward
1,1,1,4,2,4,3.56257670253157e-06
1,1,1,4,2,6,2.06256181245479e-06
1,1,1,4,2,7,2.3133588574753e-06
1,1,1,4,2,8,2.47183543933271e-06
1,1,1,4,7,1,2.5613868673835e-06
1,1,1,4,7,8,1.53357537591159e-06
1,1,1,8,1,2,5.35169735194074e-07
1,1,1,8,2,1,3.67029337366986e-07
1,1,1,8,2,2,5.17980163983189e-07
1,1,1,8,2,6,4.31788182875259e-07
1,1,1,8,2,8,2.91490884873902e-07
1,1,1,8,6,1,2.78835814326861e-07
1,1,1,8,8,4,4.59774059602402e-07
1,1,1,8,8,5,5.80773838465554e-07
1,1,2,4,1,6,1.55360171150143e-06
1,1,2,4,6,2,2.54972177937685e-06
1,1,2,4,6,5,1.21731003643877e-06
1,1,2,4,6,6,1.41415554344437e-06
1,1,2,4,6,7,2.06757735066176e-06
1,1,2,6,4,2,1.24129783229954e-06
1,1,2,6,4,5,1.36493093050305e-06
1,1,2,6,4,8,1.86687762238069e-06
1,1,2,6,8,4,1.24598357298389e-06
1,1,2,6,8,7,9.94400719545041e-07
1,1,2,7,4,8,2.41672858514175e-06
1,1,7,8,5,6,5.62097004941364e-07
1,7,4,6,1,7,4.38538474900607e-06
1,7,4,7,2,2,2.50327237916181e-06
1,7,4,7,2,4,2.81888904529737e-06
1,7,4,7,2,6,2.72566218495474e-06
1,7,4,8,4,5,3.33878819824829e-06
1,7,4,8,4,6,3.8913585439504e-06
1,7,4,8,4,7,5.94411458587629e-06
1,7,4,8,5,8,2.7823095588575e-06
1,7,4,8,8,1,2.066172596904e-06
1,7,4,8,8,8,3.63639043809982e-06
1,7,6,4,4,1,4.98703773688103e-06
1,7,6,4,4,2,3.02459904033547e-06
1,7,6,4,4,3,1.65297394361108e-06
1,7,6,4,4,4,2.28984920380704e-06
1,7,6,4,4,7,4.9795309846612e-06
1,7,6,4,4,8,5.0624110611297e-06
1,7,6,4,5,3,1.97727455819585e-06
2,4,8,6,4,1,6.54678024092359e-06
2,4,8,6,4,3,5.4984588783169e-06
2,4,8,8,4,2,3.8514128609668e-06
2,4,8,8,4,4,3.2080613497909e-06
2,4,8,8,4,5,4.32933705740712e-06
2,4,8,8,4,7,4.58490444110726e-06
2,4,8,8,5,2,4.50003040475266e-06
2,4,8,8,6,4,3.5563009056494e-06
2,6,4,7,4,1,2.37126668511944e-06
2,6,4,7,8,4,1.70154500067632e-06
2,6,4,8,7,4,1.65461013101886e-06
2,6,4,8,7,8,9.06501761321898e-07
4,2,4,4,1,1,8.94041859811345e-06
4,2,4,4,1,4,8.44216246043139e-06
4,2,4,4,1,5,9.12580273337849e-06
4,2,4,8,7,1,8.33976111991319e-06
4,2,6,4,6,1,3.48938721139724e-06
4,2,6,4,6,5,2.83803310896502e-06
4,2,6,4,7,6,7.5411338144038e-06
4,8,1,5,8,4,6.11859340715615e-06
4,8,2,6,5,6,5.91501235103209e-06
4,8,2,7,6,3,5.1733879434801e-06
4,8,2,7,8,1,6.04561126793524e-06
7,2,4,4,1,5,6.82650863281786e-06
8,2,4,4,1,1,2.62591598176876e-06
8,2,4,4,1,5,3.11902828498134e-06
8,2,4,4,1,6,2.63757648522045e-06
8,2,4,4,4,4,8.31296509185009e-06
8,2,4,4,4,8,6.45150611178202e-06
8,2,4,4,7,1,3.73168475031882e-06
8,2,4,4,7,2,6.51219859948426e-06
8,2,4,4,7,6,6.78872181780754e-06
8,2,4,5,4,6,5.72921309360819e-06
8,2,4,7,5,5,2.21555157797759e-06
8,2,4,7,6,7,2.16570902222823e-06
8,2,7,4,1,4,1.96167744326292e-06
8,7,7,4,8,1,8.63760343694508e-07
8,7,7,4,8,4,1.59769636876028e-06
8,7,7,4,8,6,2.97886438704875e-06
