Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Reward
1,1,1,4,2,4,1,4.36237586276533e-06
1,1,1,4,2,6,7,2.52142029333324e-06
1,1,1,4,2,7,7,4.45114277347614e-06
1,1,1,4,2,7,8,2.35139980753196e-06
1,1,1,4,2,8,4,3.69432358138244e-06
1,1,1,4,2,8,6,3.25242780641055e-06
1,1,1,4,7,1,8,3.10130476011139e-06
1,1,1,4,7,8,1,4.27119356738448e-06
1,1,1,4,7,8,3,1.69137170225042e-06
1,1,1,4,7,8,5,1.93817492510906e-06
1,1,1,8,1,2,4,1.41085971772092e-06
1,1,1,8,2,8,4,1.55387403355522e-06
1,1,1,8,6,1,4,6.72837338511201e-07
1,1,1,8,8,4,5,1.99930045374774e-06
1,1,2,4,1,6,1,2.50138098267794e-06
1,1,2,4,1,6,2,1.89656802240812e-06
1,1,2,4,1,6,5,1.84951619275342e-06
1,1,2,4,1,6,6,4.22173893022126e-06
1,1,2,4,1,6,7,1.73781331191947e-06
1,1,2,4,6,5,6,3.95242666573203e-06
1,1,2,4,6,6,1,1.81886530270514e-06
1,1,2,4,6,6,2,3.68337224920801e-06
1,1,2,4,6,7,2,2.73929870553413e-06
1,1,2,4,6,7,4,2.94598713357352e-06
1,1,2,4,6,7,5,4.38973890826144e-06
1,1,2,4,6,7,8,4.25392437219951e-06
1,1,2,6,4,5,2,2.76294044498915e-06
1,1,2,7,4,8,4,4.26651172502623e-06
1,1,7,8,5,6,4,7.25407741208883e-07
1,7,4,6,1,7,2,4.86046721237532e-06
1,7,4,6,1,7,5,4.9013707058565e-06
1,7,4,7,2,2,1,2.51886921331934e-06
1,7,4,7,2,4,1,3.79086033641673e-06
1,7,4,7,2,6,1,2.84998946431525e-06
1,7,4,7,2,6,3,3.87112301225567e-06
1,7,4,7,2,6,4,3.12683585079743e-06
1,7,4,8,4,5,2,4.37107163964168e-06
1,7,4,8,4,6,5,7.77328173173775e-06
1,7,4,8,4,7,1,7.03996809503504e-06
1,7,4,8,4,7,8,7.02135376329238e-06
1,7,4,8,8,1,1,4.07320924300514e-06
1,7,4,8,8,8,5,4.89032055206451e-06
1,7,6,4,4,1,5,6.35054484443565e-06
1,7,6,4,4,3,4,2.50215342945115e-06
1,7,6,4,4,4,1,4.19061907097618e-06
1,7,6,4,4,7,7,6.01788704723827e-06
1,7,6,4,4,8,7,6.21573502324058e-06
2,4,8,8,4,4,3,6.67118871755523e-06
2,4,8,8,4,4,7,7.73421660993368e-06
2,4,8,8,4,5,4,5.22311819406429e-06
2,4,8,8,4,5,6,6.89681579979506e-06
2,4,8,8,4,7,2,4.72617729285751e-06
2,6,4,7,4,1,3,2.64909919855949e-06
2,6,4,7,8,4,7,3.08438335017147e-06
2,6,4,7,8,4,8,3.04685242769054e-06
2,6,4,8,7,8,3,3.0367508604412e-06
4,2,6,4,6,1,2,4.1068041830572e-06
4,8,1,5,8,4,7,7.1417617688585e-06
4,8,2,7,8,1,5,6.46552719207882e-06
7,2,4,4,1,5,8,7.34765823329209e-06
8,2,4,4,1,1,5,5.67257614414451e-06
8,2,4,4,1,1,7,5.92814388267193e-06
8,2,4,4,1,6,1,3.50225860168418e-06
8,2,4,4,1,6,2,3.06435776731284e-06
8,2,4,4,1,6,5,3.17231460644773e-06
8,2,4,4,1,6,7,5.74909686223979e-06
8,2,4,4,4,4,6,8.72845176591586e-06
8,2,4,4,7,2,7,6.81188124052046e-06
8,2,4,4,7,6,8,7.4604950411894e-06
8,2,4,7,5,5,7,3.37255945870307e-06
8,2,7,4,1,4,7,3.0565926548709e-06
8,7,7,4,8,1,3,1.56287682717693e-06
8,7,7,4,8,1,5,5.21634650896274e-06
8,7,7,4,8,1,7,5.38604770772277e-06
