Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Reward
1,1,1,4,2,4,1,2,7.13945830510543e-06
1,1,1,4,2,4,1,4,5.15276583445967e-06
1,1,1,4,2,6,7,6,2.70920397138497e-06
1,1,1,4,2,7,8,5,2.94501772923894e-06
1,1,1,4,2,7,8,6,3.97833332566044e-06
1,1,1,4,2,7,8,7,4.14913700841346e-06
1,1,1,4,2,8,6,4,6.0825873404724e-06
1,1,1,4,2,8,6,7,5.31559959160433e-06
1,1,1,4,7,1,8,7,3.38664908794417e-06
1,1,1,4,7,8,5,1,5.04934635581211e-06
1,1,1,8,1,2,4,2,2.30732883443885e-06
1,1,1,8,1,2,4,4,2.54225127505059e-06
1,1,1,8,1,2,4,6,1.96428045973196e-06
1,1,1,8,1,2,4,7,1.57802454048284e-06
1,1,1,8,1,2,4,8,1.48046184145212e-06
1,1,1,8,2,8,4,6,1.83239009554637e-06
1,1,1,8,8,4,5,5,2.17455401396727e-06
1,1,2,4,1,6,2,4,2.14977470280875e-06
1,1,2,4,1,6,7,1,2.37310925321754e-06
1,1,2,4,1,6,7,8,2.1474218869777e-06
1,1,2,4,6,7,8,1,4.73610344098319e-06
1,1,2,7,4,8,4,5,5.79103897668798e-06
1,1,7,8,5,6,4,6,1.28848521196989e-06
1,1,7,8,5,6,4,7,1.57139220657854e-06
1,7,4,6,1,7,2,2,5.30376826435308e-06
1,7,4,6,1,7,2,8,5.24194855122673e-06
1,7,4,7,2,6,4,1,6.29931414675156e-06
1,7,4,8,4,5,2,6,8.02674955480143e-06
1,7,4,8,4,7,8,5,7.76454167616958e-06
1,7,4,8,4,7,8,6,9.5885131690121e-06
1,7,4,8,8,1,1,2,4.20807978529503e-06
1,7,4,8,8,1,1,7,6.7897297171271e-06
1,7,4,8,8,8,5,1,6.0100580048239e-06
1,7,4,8,8,8,5,2,4.92935165929964e-06
1,7,4,8,8,8,5,8,5.94379497287356e-06
1,7,6,4,4,4,1,5,8.9039095623189e-06
1,7,6,4,4,8,7,4,7.32221968058333e-06
1,7,6,4,4,8,7,5,7.07060430238382e-06
2,4,8,8,4,5,4,6,7.04591003741761e-06
4,8,2,7,8,1,5,4,6.65941696498251e-06
8,2,4,4,1,1,5,1,7.56015887337647e-06
8,2,4,4,1,1,5,3,6.52133436929159e-06
8,2,4,4,1,1,7,7,6.6172073605042e-06
8,2,4,4,1,1,7,8,7.60587552250946e-06
8,2,4,4,1,6,1,5,7.8854453858801e-06
8,2,4,4,1,6,2,6,6.92801807034016e-06
8,2,4,4,1,6,5,8,5.35909482946018e-06
8,2,4,4,7,6,8,7,7.46862990097519e-06
8,7,7,4,8,1,5,8,5.48127970745327e-06
