Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Drug_9,Reward
1,1,1,4,2,4,1,4,5,8.70381887063676e-06
1,1,1,4,2,4,1,4,7,8.53600295891432e-06
1,1,1,4,2,6,7,6,6,4.87163959816961e-06
1,1,1,4,2,6,7,6,8,5.21012160126233e-06
1,1,1,4,2,7,8,5,1,5.63238846928993e-06
1,1,1,4,2,7,8,5,6,5.69185987886467e-06
1,1,1,4,2,7,8,6,5,5.99667977196905e-06
1,1,1,4,2,8,6,4,7,7.08781192138019e-06
1,1,1,4,7,1,8,7,4,7.28760481105706e-06
1,1,1,8,1,2,4,2,1,2.86124213644268e-06
1,1,1,8,1,2,4,2,8,2.56967620826387e-06
1,1,1,8,1,2,4,4,2,3.03220654018777e-06
1,1,1,8,1,2,4,4,4,5.87291458264971e-06
1,1,1,8,1,2,4,4,6,2.67579381008076e-06
1,1,1,8,1,2,4,4,7,3.96183260908956e-06
1,1,1,8,1,2,4,7,2,2.00770990843591e-06
1,1,1,8,1,2,4,7,3,2.1844822700734e-06
1,1,1,8,1,2,4,8,4,1.75065310004108e-06
1,1,2,7,4,8,4,5,6,6.42866156386201e-06
1,7,4,6,1,7,2,8,4,6.08233881993492e-06
1,7,4,8,8,1,1,2,1,6.79561494232317e-06
1,7,4,8,8,1,1,2,2,5.81898000506786e-06
1,7,4,8,8,1,1,7,5,7.3505581557054e-06
1,7,4,8,8,8,5,2,2,5.29805249949167e-06
1,7,4,8,8,8,5,2,7,5.73189325192569e-06
1,7,6,4,4,8,7,4,7,9.58404662654289e-06
8,2,4,4,1,1,7,7,2,7.06193810462441e-06
8,2,4,4,1,1,7,7,7,7.34743508645774e-06
