Drug_1,Drug_2,Drug_3,Reward
4,2,6,2.086163e-06
4,2,3,7.748604e-07
4,7,6,1.549721e-06
4,7,3,1.66893e-06
4,7,4,1.490116e-06
4,1,2,1.549721e-06
4,1,8,1.609325e-06
4,1,1,1.192093e-06
4,8,7,1.430511e-06
4,8,4,1.072884e-06
4,8,1,1.132488e-06
6,4,2,8.940697e-07
6,4,7,1.013279e-06
6,4,6,8.34465e-07
6,5,6,4.172325e-07
7,4,4,1.609325e-06
7,4,1,1.072884e-06
7,5,4,5.960464e-07
1,2,4,4.172325e-07
1,2,1,4.768372e-07
1,7,4,6.556511e-07
1,5,1,4.172325e-07
5,2,1,4.172325e-07
2,4,2,1.430511e-06
2,4,4,1.311302e-06
2,4,5,7.152557e-07
2,4,1,8.34465e-07
8,4,2,4.172325e-07
8,4,6,1.251698e-06
8,4,8,8.940697e-07
8,4,5,7.152557e-07
