Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Reward
4,7,6,7,4,1,4.529953e-06
4,7,6,8,4,6,4.410744e-06
4,7,6,8,4,4,3.397465e-06
4,7,4,8,8,4,6.020069e-06
4,7,4,8,5,7,4.11272e-06
4,1,2,4,6,2,3.218651e-06
4,1,2,4,6,1,2.801418e-06
4,1,2,4,6,5,3.993511e-06
4,1,2,4,8,1,2.861023e-06
4,1,2,4,5,8,3.397465e-06
4,1,1,5,2,2,3.755093e-06
4,1,1,5,1,3,2.741814e-06
4,1,1,8,4,7,4.470348e-06
4,1,1,8,4,6,4.291534e-06
4,1,1,8,4,5,3.099442e-06
4,1,1,6,4,6,3.218651e-06
4,1,1,6,4,8,3.457069e-06
4,8,4,8,7,6,5.483627e-06
4,8,4,8,3,6,4.351139e-06
4,8,4,1,8,6,5.424023e-06
4,8,4,1,8,4,5.781651e-06
4,8,4,1,7,2,5.483627e-06
4,8,4,1,7,1,4.410744e-06
4,8,4,1,7,6,5.424023e-06
4,8,4,1,7,8,5.424023e-06
6,4,2,2,4,4,4.708767e-06
6,4,2,2,2,3,2.801418e-06
7,4,4,5,1,6,5.066395e-06
1,2,4,4,2,1,2.980232e-06
1,2,4,4,2,7,2.741814e-06
1,2,4,4,2,5,2.622604e-06
2,4,4,7,6,2,2.861023e-06
2,4,4,7,6,5,3.039837e-06
2,4,4,7,4,1,4.23193e-06
2,4,4,7,4,3,5.781651e-06
2,4,4,7,4,5,3.755093e-06
2,4,4,7,5,6,2.980232e-06
2,4,4,7,5,5,5.245209e-06
2,4,4,1,4,1,5.960464e-06
2,4,4,1,4,7,6.020069e-06
2,4,4,1,4,4,3.933907e-06
2,4,4,1,4,8,6.020069e-06
2,4,4,1,1,2,3.695488e-06
2,4,4,1,1,1,3.099442e-06
2,4,4,1,1,8,5.185604e-06
2,4,4,6,2,2,2.44379e-06
2,4,4,6,2,6,2.563e-06
2,4,4,6,2,8,5.185604e-06
2,4,4,6,7,7,2.563e-06
2,4,4,6,7,6,5.185604e-06
2,4,4,6,3,8,4.172325e-06
2,4,1,4,6,4,3.695488e-06
2,4,1,4,2,5,4.768372e-06
2,4,1,4,7,2,2.861023e-06
2,4,1,8,6,2,3.278255e-06
2,4,1,8,4,2,2.741814e-06
2,4,1,8,4,3,2.563e-06
2,4,1,8,4,4,2.980232e-06
2,4,1,6,4,6,2.861023e-06
8,4,6,4,2,6,3.218651e-06
8,4,6,4,2,8,2.980232e-06
8,4,8,4,4,5,5.483627e-06
8,4,8,4,2,1,4.291534e-06
8,4,8,4,1,2,4.410744e-06
8,4,8,4,1,1,3.814697e-06
8,4,8,4,1,4,3.039837e-06
8,4,8,4,5,1,4.410744e-06
8,4,8,4,5,7,3.695488e-06
8,4,8,4,5,3,4.410744e-06
8,4,8,4,5,8,4.649162e-06
8,4,8,1,8,8,2.682209e-06
8,4,8,1,4,4,3.814697e-06
8,4,8,6,8,5,2.920628e-06
8,4,8,6,2,1,2.741814e-06
8,4,8,6,2,8,3.159046e-06
8,4,5,4,8,2,4.470348e-06
8,4,5,1,7,4,3.039837e-06
