Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Reward
4,7,6,8,4,4,1,4.410744e-06
4,7,4,8,8,4,3,7.033348e-06
4,7,4,8,8,4,2,7.033348e-06
4,7,4,8,5,7,8,6.198883e-06
4,7,4,8,5,7,2,6.318092e-06
4,1,2,4,6,1,1,6.020069e-06
4,1,2,4,8,1,6,4.23193e-06
4,1,1,8,4,6,8,5.364418e-06
4,1,1,8,4,6,4,5.543232e-06
4,1,1,8,4,5,7,5.543232e-06
4,8,4,8,7,6,2,6.198883e-06
4,8,4,1,7,2,4,6.437302e-06
4,8,4,1,7,2,5,6.020069e-06
4,8,4,1,7,1,4,6.616116e-06
4,8,4,1,7,6,5,6.318092e-06
1,2,4,4,2,5,2,5.066395e-06
2,4,4,7,4,1,2,6.973743e-06
2,4,4,7,4,3,4,6.318092e-06
2,4,4,1,4,7,6,7.033348e-06
2,4,4,1,4,4,4,4.649162e-06
2,4,4,6,2,6,5,5.90086e-06
2,4,4,6,7,6,4,6.318092e-06
2,4,4,6,7,6,2,5.90086e-06
2,4,1,8,4,4,3,5.722046e-06
2,4,1,6,4,6,5,5.245209e-06
8,4,6,4,2,8,8,4.708767e-06
8,4,6,4,2,8,1,4.708767e-06
8,4,8,4,1,2,3,4.947186e-06
8,4,8,4,1,2,7,5.424023e-06
8,4,8,4,1,2,6,5.125999e-06
8,4,8,4,1,1,3,5.245209e-06
8,4,8,4,1,1,4,5.662441e-06
8,4,8,4,1,4,5,6.198883e-06
8,4,8,4,5,1,8,5.125999e-06
8,4,8,4,5,1,4,5.483627e-06
8,4,8,4,5,8,7,5.125999e-06
8,4,5,4,8,2,8,5.245209e-06
