Drug_1,Drug_2,Drug_3,Drug_4,Reward
4,2,6,4,3.278255e-06
4,7,6,7,2.384186e-06
4,7,6,8,1.966953e-06
4,7,4,8,2.741814e-06
4,7,4,1,2.086163e-06
4,1,2,4,1.907349e-06
4,1,2,5,2.741814e-06
4,1,1,4,1.549721e-06
4,1,1,5,1.728535e-06
4,1,1,8,1.549721e-06
4,1,1,6,1.370907e-06
4,8,4,4,3.397465e-06
4,8,4,8,3.576279e-06
4,8,4,1,1.251698e-06
6,4,2,2,1.251698e-06
6,4,2,5,1.251698e-06
6,4,7,2,1.549721e-06
7,4,4,5,3.039837e-06
7,4,4,6,3.039837e-06
7,4,1,7,1.907349e-06
1,2,4,4,1.311302e-06
2,4,4,7,1.490116e-06
2,4,4,3,3.039837e-06
2,4,4,5,2.086163e-06
2,4,4,1,2.44379e-06
2,4,4,6,2.086163e-06
2,4,1,4,1.370907e-06
2,4,1,5,1.192093e-06
2,4,1,8,1.66893e-06
2,4,1,6,1.609325e-06
8,4,2,3,1.490116e-06
8,4,6,4,2.622604e-06
8,4,6,5,1.66893e-06
8,4,8,4,1.609325e-06
8,4,8,8,1.192093e-06
8,4,8,1,1.788139e-06
8,4,8,6,1.788139e-06
8,4,5,4,1.192093e-06
8,4,5,7,1.788139e-06
8,4,5,1,1.788139e-06
