Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Reward
4,7,6,7,4,3.576279e-06
4,7,6,7,7,3.039837e-06
4,7,6,8,4,2.801418e-06
4,7,4,8,8,3.278255e-06
4,7,4,8,5,3.099442e-06
4,7,4,1,8,4.529953e-06
4,1,2,4,6,2.44379e-06
4,1,2,4,8,2.44379e-06
4,1,2,4,1,4.23193e-06
4,1,2,4,5,2.980232e-06
4,1,1,5,2,2.503395e-06
4,1,1,5,1,2.264977e-06
4,1,1,8,4,2.205372e-06
4,1,1,6,8,3.039837e-06
4,1,1,6,4,2.741814e-06
4,8,4,4,8,5.424023e-06
4,8,4,8,7,4.589558e-06
4,8,4,8,3,4.291534e-06
4,8,4,1,8,4.410744e-06
4,8,4,1,7,3.397465e-06
6,4,2,2,4,3.218651e-06
6,4,2,2,2,2.682209e-06
6,4,7,2,6,2.563e-06
6,4,7,2,5,2.741814e-06
7,4,4,5,1,3.874302e-06
7,4,1,7,7,2.44379e-06
7,4,1,7,5,1.966953e-06
1,2,4,4,2,1.847744e-06
1,2,4,4,3,2.086163e-06
2,4,4,7,6,2.324581e-06
2,4,4,7,4,2.622604e-06
2,4,4,7,5,2.264977e-06
2,4,4,5,7,2.920628e-06
2,4,4,5,5,2.264977e-06
2,4,4,1,4,3.516674e-06
2,4,4,1,1,3.039837e-06
2,4,4,6,6,4.351139e-06
2,4,4,6,2,2.384186e-06
2,4,4,6,7,2.324581e-06
2,4,4,6,3,4.11272e-06
2,4,1,4,6,2.741814e-06
2,4,1,4,2,1.788139e-06
2,4,1,4,7,2.324581e-06
2,4,1,4,3,3.516674e-06
2,4,1,8,6,1.966953e-06
2,4,1,8,4,2.145767e-06
2,4,1,6,8,1.907349e-06
2,4,1,6,4,2.026558e-06
8,4,6,4,2,2.861023e-06
8,4,6,5,6,1.788139e-06
8,4,8,4,8,2.384186e-06
8,4,8,4,4,4.11272e-06
8,4,8,4,2,3.039837e-06
8,4,8,4,1,2.205372e-06
8,4,8,4,5,2.026558e-06
8,4,8,8,8,2.44379e-06
8,4,8,1,6,2.503395e-06
8,4,8,1,8,2.264977e-06
8,4,8,1,4,2.741814e-06
8,4,8,6,8,2.503395e-06
8,4,8,6,2,2.086163e-06
8,4,5,4,8,3.159046e-06
8,4,5,1,7,2.563e-06
