Drug_1,Drug_2,Drug_3,Drug_4,Drug_5,Drug_6,Drug_7,Drug_8,Reward
4,7,6,8,4,4,1,3,6.914139e-06
4,7,6,8,4,4,1,7,7.271767e-06
4,7,4,8,5,7,8,1,6.854534e-06
4,7,4,8,5,7,8,7,6.854534e-06
4,7,4,8,5,7,2,1,6.79493e-06
4,1,2,4,6,1,1,5,6.79493e-06
4,1,1,8,4,6,8,6,6.079674e-06
4,1,1,8,4,6,4,1,6.616116e-06
4,8,4,8,7,6,2,2,6.973743e-06
4,8,4,1,7,2,4,2,7.688999e-06
4,8,4,1,7,2,5,6,6.496906e-06
4,8,4,1,7,2,5,8,6.496906e-06
4,8,4,1,7,1,4,5,7.808208e-06
4,8,4,1,7,6,5,3,6.616116e-06
4,8,4,1,7,6,5,4,7.390976e-06
4,8,4,1,7,6,5,8,7.033348e-06
2,4,4,1,4,4,4,3,7.56979e-06
2,4,4,1,4,4,4,4,7.987022e-06
2,4,4,6,2,6,5,5,6.139278e-06
2,4,1,6,4,6,5,5,5.781651e-06
2,4,1,6,4,6,5,3,5.602837e-06
8,4,6,4,2,8,8,1,6.198883e-06
8,4,6,4,2,8,8,4,5.662441e-06
8,4,8,4,1,2,3,4,5.424023e-06
8,4,8,4,1,2,7,2,5.781651e-06
8,4,8,4,1,2,6,3,5.960464e-06
8,4,8,4,1,4,5,7,7.152557e-06
8,4,8,4,5,1,8,3,5.483627e-06
